"Wavfile","Onset_select","Onset_CW","Offset_CW"
"f01.mp3",1047,1984,2717
"f02.mp3",734,1586,2395
"f03.mp3",929,1926,2451
"f04.mp3",646,1638,2301
"f05.mp3",906,2088,2532
"f06.mp3",939,1981,2597
"f07.mp3",935,1863,2396
"f08.mp3",706,1590,2083
"f09.mp3",1069,2052,2579
"f10.mp3",714,1721,2472
"f11.mp3",925,1930,2460
"f12.mp3",744,1759,2260
"f13.mp3",702,1569,2214
"f14.mp3",955,1858,2638
"f15.mp3",1210,2128,2779
"f16.mp3",862,1910,2367
"f17.mp3",1104,2094,2478
"f18.mp3",939,1843,2536
"f19.mp3",959,1921,2630
"f20.mp3",1013,1944,2728
"f21.mp3",818,1785,2425
"f22.mp3",903,1863,2523
"f23.mp3",1099,2025,2512
"f24.mp3",623,1523,2184
"f25.mp3",1154,2024,2682
"f26.mp3",727,1627,2155
"f27.mp3",1202,2154,2663
"f28.mp3",839,1795,2350
"f29.mp3",739,1691,2354
"f30.mp3",948,1864,2413
"f31.mp3",806,1769,2423
"f32.mp3",570,1532,2102
"f33.mp3",986,2050,2712
"f34.mp3",793,1774,2350
"f35.mp3",825,1779,2448
"f36.mp3",999,1948,2541
"f37.mp3",881,1831,2380
"f38.mp3",1075,2038,2485
"f39.mp3",884,1874,2312
"f40.mp3",819,1751,2284
"f41.mp3",1048,1955,2615
"f42.mp3",1112,2180,2614
"f43.mp3",917,1876,2474
"f44.mp3",734,1717,2319
"f45.mp3",916,1801,2628
"f46.mp3",1045,2003,2468
"f47.mp3",910,1863,2538
"f48.mp3",1019,1918,2388
