129975789 SESSION_BEGIN 26
129975975 BEGIN 51
129976953 DOWN -0.2719 -0.4219
129976999 DOWN -0.2719 -0.4219
129977666 DOWN 0.3438 -0.3594
129977707 DOWN 0.3438 -0.3594
129978235 DOWN -0.3438 0.5156
129978285 MOVE -0.3403 0.5122
129978297 MOVE -0.3344 0.5031
129978298 DOWN -0.3344 0.5031
129978816 DOWN 0.5469 0.6719
129978866 DOWN 0.5469 0.6719
129979416 DOWN 0.6313 -0.4250
129979451 MOVE 0.6346 -0.4250
129979466 MOVE 0.6375 -0.4281
129979467 DOWN 0.6375 -0.4281
129979974 DOWN -0.4219 -0.3219
129979992 MOVE -0.4187 -0.3219
129979992 DOWN -0.4187 -0.3219
129980670 DOWN -0.3187 0.5063
129980700 DOWN -0.3187 0.5063
129981487 DOWN 0.4844 0.5625
129981535 MOVE 0.4957 0.5738
129981537 DOWN 0.4957 0.5738
129981939 SYNCTIME f51
129982163 DOWN 0.5188 -0.4156
129982181 MOVE 0.5156 -0.4156
129982181 DOWN 0.5156 -0.4156
129982882 DOWN -0.2656 -0.3969
129982900 MOVE -0.2625 -0.3969
129982900 DOWN -0.2625 -0.3969
129984762 DOWN -0.4625 -0.4688
129984787 MOVE -0.4672 -0.4688
129984813 MOVE -0.4625 -0.4688
129984814 DOWN -0.4625 -0.4688
129989002 DOWN -0.4688 -0.3875
129989020 MOVE -0.4737 -0.3875
129989037 MOVE -0.4820 -0.3910
129989041 DOWN -0.4820 -0.3910
129989203 SELECT 0
129989240 MOVE -0.4406 -0.4250
129989241 DOWN -0.4406 -0.4250
129990896 BEGIN 68
129992880 DOWN -0.3469 -0.5250
129992930 MOVE -0.3438 -0.5219
129992930 DOWN -0.3438 -0.5219
129993804 DOWN -0.3688 0.5938
129993837 MOVE -0.3656 0.5906
129993853 MOVE -0.3625 0.5844
129993854 DOWN -0.3625 0.5844
129994802 DOWN 0.5063 0.5813
129994830 DOWN 0.5063 0.5813
129995617 DOWN 0.5281 -0.5063
129995638 MOVE 0.5226 -0.5063
129995654 MOVE 0.5219 -0.5022
129995667 MOVE 0.5188 -0.4969
129995668 DOWN 0.5188 -0.4969
129996843 DOWN -0.3156 -0.4313
129996871 MOVE -0.3090 -0.4432
129996882 MOVE -0.3063 -0.4500
129996882 DOWN -0.3063 -0.4500
129997551 DOWN 0.4844 -0.4375
129997579 DOWN 0.4844 -0.4375
129998226 DOWN 0.7188 0.5906
129998255 MOVE 0.7027 0.5986
129998256 DOWN 0.7027 0.5986
129998795 DOWN -0.3812 0.6219
129998822 MOVE -0.3775 0.6219
129998824 DOWN -0.3775 0.6219
129999356 SYNCTIME f68
129999357 DOWN 0.4187 -0.5031
129999389 MOVE 0.4222 -0.5031
129999392 DOWN 0.4222 -0.5031
129999899 DOWN -0.2937 -0.5156
129999922 MOVE -0.2937 -0.5125
129999928 DOWN -0.2937 -0.5125
130000413 DOWN 0.5750 0.7031
130000452 MOVE 0.5781 0.7031
130000453 DOWN 0.5781 0.7031
130002434 DOWN 0.5063 0.5656
130002472 MOVE 0.5019 0.5612
130002494 MOVE 0.5031 0.5688
130002495 DOWN 0.5031 0.5688
130002851 SELECT 3
130002919 MOVE 0.5312 0.4750
130002920 DOWN 0.5312 0.4750
130003910 BEGIN 65
130004860 DOWN -0.3750 -0.4719
130004873 MOVE -0.3783 -0.4719
130004890 MOVE -0.3828 -0.4719
130004906 MOVE -0.3709 -0.4788
130004910 DOWN -0.3709 -0.4788
130005407 DOWN 0.4875 -0.3594
130005467 MOVE 0.4938 -0.3656
130005467 DOWN 0.4938 -0.3656
130005964 DOWN -0.4469 0.5969
130005982 MOVE -0.4437 0.5969
130005982 DOWN -0.4437 0.5969
130006521 DOWN 0.5344 0.5406
130006540 MOVE 0.5297 0.5359
130006556 MOVE 0.5279 0.5375
130006560 DOWN 0.5279 0.5375
130007090 DOWN -0.3438 -0.3438
130007123 MOVE -0.3312 -0.3375
130007129 DOWN -0.3312 -0.3375
130008023 DOWN 0.6531 -0.4406
130008052 DOWN 0.6531 -0.4406
130008579 DOWN -0.4219 0.5469
130008607 MOVE -0.4266 0.5469
130008620 MOVE -0.4125 0.5437
130008621 DOWN -0.4125 0.5437
130009052 DOWN 0.4594 0.5375
130009081 MOVE 0.4594 0.5406
130009081 DOWN 0.4594 0.5406
130009609 SYNCTIME f65
130009610 SELECT 3
130009633 MOVE 0.5307 0.5813
130009671 MOVE 0.5250 0.5844
130009672 DOWN 0.5250 0.5844
130014917 BEGIN 60
130015784 DOWN -0.3406 -0.4531
130015823 MOVE -0.3344 -0.4437
130015824 DOWN -0.3344 -0.4437
130016322 DOWN 0.6156 -0.2969
130016358 MOVE 0.6156 -0.3005
130016381 DOWN 0.6156 -0.3005
130016899 DOWN 0.6594 0.6625
130016939 DOWN 0.6594 0.6625
130017435 DOWN -0.3625 0.5250
130017475 MOVE -0.3594 0.5281
130017475 DOWN -0.3594 0.5281
130018057 DOWN -0.3313 -0.4031
130018092 MOVE -0.3136 -0.4135
130018096 DOWN -0.3136 -0.4135
130018754 DOWN 0.6781 -0.3500
130018793 MOVE 0.6817 -0.3500
130018809 MOVE 0.6936 -0.3531
130018825 MOVE 0.6984 -0.3577
130018826 DOWN 0.6984 -0.3577
130019516 DOWN -0.2625 -0.3594
130019542 MOVE -0.2588 -0.3594
130019555 DOWN -0.2588 -0.3594
130020063 DOWN -0.1344 0.5562
130020092 MOVE -0.1344 0.5510
130020109 MOVE -0.1267 0.5462
130020123 MOVE -0.1219 0.5437
130020124 DOWN -0.1219 0.5437
130020576 SYNCTIME f60
130020683 DOWN 0.5531 0.5156
130020702 DOWN 0.5531 0.5156
130021382 DOWN 0.5813 -0.2750
130021388 DOWN 0.5813 -0.2750
130024016 DOWN 0.5281 -0.5063
130024044 MOVE 0.5125 -0.5312
130024045 DOWN 0.5125 -0.5312
130024196 SELECT 1
130024259 MOVE 0.5250 -0.5375
130024260 DOWN 0.5250 -0.5375
130025273 BEGIN 49
130026256 DOWN -0.3125 -0.5500
130026329 DOWN -0.3125 -0.5500
130027073 DOWN -0.2219 0.3688
130027110 MOVE -0.2184 0.3688
130027112 DOWN -0.2184 0.3688
130028050 DOWN 0.6250 0.5188
130028089 DOWN 0.6250 0.5188
130028768 DOWN 0.6781 -0.3688
130028797 DOWN 0.6781 -0.3688
130029982 DOWN 0.6031 0.4500
130030011 MOVE 0.5969 0.4517
130030028 MOVE 0.5934 0.4566
130030054 MOVE 0.5938 0.4594
130030054 DOWN 0.5938 0.4594
130030614 DOWN -0.4062 0.5437
130030644 DOWN -0.4062 0.5437
130031258 DOWN -0.3000 -0.3562
130031287 DOWN -0.3000 -0.3562
130031944 DOWN 0.4250 -0.5656
130031978 MOVE 0.4250 -0.5748
130031984 MOVE 0.4250 -0.5750
130031985 DOWN 0.4250 -0.5750
130032499 SYNCTIME f49
130032587 DOWN 0.6000 0.5656
130032611 MOVE 0.6032 0.5688
130032617 DOWN 0.6032 0.5688
130033189 DOWN -0.3688 0.3000
130033228 MOVE -0.3531 0.2969
130033229 DOWN -0.3531 0.2969
130035823 DOWN -0.3812 -0.4781
130035845 MOVE -0.3844 -0.4844
130035861 MOVE -0.3844 -0.4875
130035862 DOWN -0.3844 -0.4875
130036057 SELECT 0
130036126 MOVE -0.3406 -0.5094
130036127 DOWN -0.3406 -0.5094
130037018 BEGIN 80
130038324 DOWN -0.3500 -0.4844
130038346 MOVE -0.3547 -0.4844
130038362 MOVE -0.3469 -0.4812
130038362 DOWN -0.3469 -0.4812
130040121 DOWN -0.3531 0.5094
130040128 DOWN -0.3531 0.5094
130041108 DOWN 0.4656 0.4969
130041158 DOWN 0.4656 0.4969
130041892 DOWN 0.6531 -0.3656
130041952 MOVE 0.6562 -0.3625
130041953 DOWN 0.6562 -0.3625
130042826 DOWN -0.2844 -0.4688
130042863 MOVE -0.2808 -0.4652
130042865 DOWN -0.2808 -0.4652
130043437 DOWN 0.5094 -0.4781
130043487 DOWN 0.5094 -0.4781
130043972 DOWN -0.2937 0.4969
130044013 MOVE -0.2830 0.4839
130044022 MOVE -0.2812 0.4812
130044022 DOWN -0.2812 0.4812
130044498 DOWN 0.5437 0.5156
130044547 MOVE 0.5508 0.5121
130044548 DOWN 0.5508 0.5121
130045098 DOWN 0.6125 -0.5063
130045137 MOVE 0.6156 -0.5063
130045138 DOWN 0.6156 -0.5063
130045347 SYNCTIME f80
130048633 DOWN 0.4500 -0.5625
130048664 MOVE 0.4449 -0.5625
130048681 MOVE 0.4422 -0.5625
130048685 DOWN 0.4422 -0.5625
130048868 SELECT 1
130048928 DOWN 0.5125 -0.5719
130049753 BEGIN 88
130050608 DOWN -0.4375 -0.5250
130050631 MOVE -0.4310 -0.5218
130050647 MOVE -0.4219 -0.5219
130050648 DOWN -0.4219 -0.5219
130051229 DOWN -0.3094 0.6031
130051248 MOVE -0.3094 0.5984
130051258 DOWN -0.3094 0.5984
130051895 DOWN 0.4812 0.5094
130051932 MOVE 0.4709 0.5134
130051934 DOWN 0.4709 0.5134
130052581 DOWN 0.5813 -0.4156
130052609 DOWN 0.5813 -0.4156
130053278 DOWN -0.4062 -0.3406
130053296 MOVE -0.3969 -0.3406
130053297 DOWN -0.3969 -0.3406
130054275 DOWN -0.4250 0.4250
130054299 MOVE -0.4347 0.4219
130054325 DOWN -0.4347 0.4219
130055079 DOWN 0.6000 0.5562
130055115 MOVE 0.6034 0.5494
130055118 DOWN 0.6034 0.5494
130055712 DOWN 0.5719 -0.4156
130055751 DOWN 0.5719 -0.4156
130055783 SYNCTIME f88
130056506 DOWN 0.6125 0.3750
130056566 MOVE 0.6276 0.3719
130056566 DOWN 0.6276 0.3719
130057235 DOWN -0.5688 0.5125
130057264 MOVE -0.5594 0.5125
130057264 DOWN -0.5594 0.5125
130057727 DOWN -0.3906 -0.3688
130057749 MOVE -0.3953 -0.3688
130057777 MOVE -0.3906 -0.3656
130057778 DOWN -0.3906 -0.3656
130058898 DOWN -0.5219 0.5656
130058917 MOVE -0.5268 0.5656
130058933 MOVE -0.5297 0.5656
130058938 DOWN -0.5297 0.5656
130059111 SELECT 2
130059163 MOVE -0.5094 0.4469
130059164 DOWN -0.5094 0.4469
130059953 BEGIN 89
130060687 DOWN -0.4281 -0.4219
130060706 MOVE -0.4187 -0.3969
130060707 DOWN -0.4187 -0.3969
130061268 DOWN 0.6187 -0.4406
130061300 MOVE 0.6187 -0.4375
130061306 MOVE 0.6187 -0.4375
130061306 DOWN 0.6187 -0.4375
130061846 DOWN -0.5625 0.4563
130061874 MOVE -0.5531 0.4563
130061875 DOWN -0.5531 0.4563
130062446 DOWN 0.6156 0.5219
130062467 MOVE 0.6099 0.5192
130062483 MOVE 0.6094 0.5098
130062485 DOWN 0.6094 0.5098
130063119 DOWN -0.4031 0.4313
130063128 DOWN -0.4031 0.4313
130064095 DOWN -0.3656 -0.4250
130064123 DOWN -0.3656 -0.4250
130064706 DOWN 0.5125 -0.4531
130064734 MOVE 0.5281 -0.4406
130064735 DOWN 0.5281 -0.4406
130065285 DOWN -0.4625 0.5312
130065318 MOVE -0.4539 0.5224
130065334 MOVE -0.4218 0.4995
130065335 DOWN -0.4218 0.4995
130065638 SYNCTIME f89
130065831 DOWN 0.4594 0.5750
130065868 MOVE 0.4663 0.5712
130065871 DOWN 0.4663 0.5712
130066345 DOWN 0.5719 -0.4531
130066384 MOVE 0.5682 -0.4494
130066395 MOVE 0.5719 -0.4469
130066396 DOWN 0.5719 -0.4469
130068796 DOWN -0.4031 0.4156
130068835 MOVE -0.3994 0.4156
130068845 MOVE -0.3906 0.4187
130068846 DOWN -0.3906 0.4187
130069019 SELECT 2
130069081 DOWN -0.4156 0.4000
130069925 BEGIN 85
130070801 DOWN -0.4219 -0.3656
130070819 MOVE -0.4123 -0.3609
130070835 MOVE -0.3796 -0.3360
130070841 DOWN -0.3796 -0.3360
130071412 DOWN 0.5625 -0.3594
130071451 MOVE 0.5656 -0.3625
130071452 DOWN 0.5656 -0.3625
130072034 DOWN -0.3844 0.4719
130072069 MOVE -0.3811 0.4686
130072083 MOVE -0.3750 0.4656
130072084 DOWN -0.3750 0.4656
130072697 DOWN 0.4500 0.4062
130072735 MOVE 0.4457 0.4019
130072748 DOWN 0.4457 0.4019
130073352 DOWN 0.5344 -0.4094
130073386 MOVE 0.5469 -0.4156
130073392 MOVE 0.5469 -0.4156
130073392 DOWN 0.5469 -0.4156
130073932 DOWN -0.4500 -0.4281
130073952 MOVE -0.4160 -0.4309
130073960 MOVE -0.4125 -0.4313
130073960 DOWN -0.4125 -0.4313
130074563 DOWN -0.3156 0.5031
130074592 MOVE -0.3094 0.5031
130074593 DOWN -0.3094 0.5031
130075250 DOWN 0.3406 0.4281
130075311 MOVE 0.3438 0.4281
130075311 DOWN 0.3438 0.4281
130075870 SYNCTIME f85
130076775 DOWN 0.5500 -0.5469
130076835 MOVE 0.5500 -0.5469
130076836 DOWN 0.5500 -0.5469
130078708 DOWN -0.4812 0.5469
130078737 MOVE -0.4888 0.5469
130078748 MOVE -0.4906 0.5469
130078749 DOWN -0.4906 0.5469
130078932 SELECT 2
130078986 MOVE -0.3625 0.3875
130078987 DOWN -0.3625 0.3875
130079839 BEGIN 61
130080682 DOWN -0.4187 0.4594
130080700 DOWN -0.4187 0.4594
130081455 DOWN -0.4437 -0.4812
130081474 DOWN -0.4437 -0.4812
130082313 DOWN 0.5562 -0.4594
130082342 DOWN 0.5562 -0.4594
130083107 DOWN 0.5219 0.7094
130083146 MOVE 0.5312 0.7031
130083147 DOWN 0.5312 0.7031
