120473291 SESSION_BEGIN 24
120473385 BEGIN 75
120474267 DOWN -0.7406 -0.3031
120474299 MOVE -0.7344 -0.3031
120474299 DOWN -0.7344 -0.3031
120474495 DOWN 0.4062 -0.3031
120474536 MOVE 0.3719 -0.2937
120474537 DOWN 0.3719 -0.2937
120474678 DOWN -0.4906 0.3562
120474706 MOVE -0.4873 0.3595
120474722 MOVE -0.4572 0.4033
120474731 MOVE -0.4500 0.4156
120474732 DOWN -0.4500 0.4156
120474885 DOWN 0.3281 0.6469
120474922 MOVE 0.3249 0.6373
120474939 MOVE 0.3156 0.6094
120474949 MOVE 0.3156 0.5844
120474949 DOWN 0.3156 0.5844
120475081 DOWN 0.5281 -0.2375
120475122 MOVE 0.5237 -0.2451
120475139 MOVE 0.5008 -0.2680
120475156 MOVE 0.4429 -0.3259
120475156 DOWN 0.4429 -0.3259
120475244 DOWN -0.1750 -0.5375
120475273 MOVE -0.1797 -0.5375
120475306 MOVE -0.1852 -0.5218
120475320 MOVE -0.1937 -0.4750
120475320 DOWN -0.1937 -0.4750
120475429 DOWN -0.4000 0.4469
120475472 MOVE -0.3833 0.4800
120475489 MOVE -0.3434 0.5218
120475494 DOWN -0.3434 0.5218
120475617 DOWN 0.5094 0.6500
120475656 MOVE 0.5094 0.6291
120475668 MOVE 0.5094 0.5969
120475668 DOWN 0.5094 0.5969
120475777 DOWN 0.4656 -0.1500
120475806 MOVE 0.4656 -0.1569
120475822 MOVE 0.4426 -0.1747
120475839 MOVE 0.4100 -0.2056
120475842 DOWN 0.4100 -0.2056
120475941 DOWN -0.1688 -0.5375
120475989 MOVE -0.1688 -0.5343
120476006 MOVE -0.1734 -0.5063
120476022 MOVE -0.1851 -0.3983
120476027 DOWN -0.1851 -0.3983
120476137 DOWN -0.3719 0.4812
120476173 MOVE -0.3659 0.4903
120476189 MOVE -0.3436 0.5126
120476206 MOVE -0.2722 0.5334
120476212 MOVE -0.2688 0.5344
120476212 DOWN -0.2688 0.5344
120476311 DOWN 0.5656 0.6219
120476339 MOVE 0.5656 0.6185
120476356 MOVE 0.5734 0.5798
120476364 MOVE 0.5750 0.5719
120476365 DOWN 0.5750 0.5719
120476485 DOWN 0.5688 -0.2875
120476506 MOVE 0.5688 -0.2922
120476522 MOVE 0.5592 -0.2970
120476539 MOVE 0.5437 -0.3000
120476539 DOWN 0.5437 -0.3000
120476648 DOWN -0.2344 -0.5219
120476689 MOVE -0.2378 -0.5184
120476706 MOVE -0.2406 -0.4754
120476722 MOVE -0.2536 -0.4029
120476723 DOWN -0.2536 -0.4029
120476822 DOWN -0.4625 0.4437
120476856 MOVE -0.4573 0.4459
120476873 MOVE -0.4412 0.4657
120476889 MOVE -0.3958 0.4955
120476906 MOVE -0.3414 0.5115
120476909 DOWN -0.3414 0.5115
120477018 DOWN 0.4750 0.5594
120477056 MOVE 0.4750 0.5431
120477072 MOVE 0.4781 0.5031
120477073 DOWN 0.4781 0.5031
120477193 DOWN 0.6438 -0.2406
120477223 MOVE 0.6438 -0.2453
120477239 MOVE 0.6350 -0.2553
120477256 MOVE 0.5986 -0.2876
120477273 MOVE 0.5538 -0.3399
120477290 MOVE 0.4861 -0.3933
120477306 MOVE 0.3562 -0.4737
120477323 MOVE 0.2461 -0.4998
120477339 MOVE 0.1076 -0.5366
120477356 MOVE 0.0397 -0.5645
120477373 MOVE 0.0002 -0.5825
120477390 MOVE -0.0156 -0.5896
120477406 MOVE -0.0225 -0.5906
120477423 MOVE -0.0273 -0.5837
120477439 MOVE -0.0321 -0.5531
120477453 MOVE -0.0281 -0.5250
120477454 DOWN -0.0281 -0.5250
120477587 DOWN -0.3500 0.3938
120477639 MOVE -0.3500 0.4010
120477656 MOVE -0.3500 0.4179
120477671 MOVE -0.3469 0.4313
120477671 DOWN -0.3469 0.4313
120477968 DOWN 0.4969 0.4969
120477987 MOVE 0.4969 0.4938
120477988 DOWN 0.4969 0.4938
120478295 DOWN 0.4500 -0.3688
120478325 DOWN 0.4500 -0.3688
120478545 DOWN -0.2688 -0.3250
120478573 MOVE -0.2650 -0.3175
120478585 MOVE -0.2625 -0.3000
120478586 DOWN -0.2625 -0.3000
120478850 DOWN -0.3750 0.6875
120478901 MOVE -0.3688 0.6875
120478902 DOWN -0.3688 0.6875
120479209 DOWN 0.4969 0.6500
120479249 DOWN 0.4969 0.6500
120479547 DOWN 0.3719 -0.4062
120479574 MOVE 0.3683 -0.4027
120479576 DOWN 0.3683 -0.4027
120479830 DOWN -0.5844 -0.1969
120479857 MOVE -0.5853 -0.1774
120479869 MOVE -0.5875 -0.1500
120479870 DOWN -0.5875 -0.1500
120480058 DOWN -0.5344 0.6438
120480107 MOVE -0.5310 0.6438
120480123 MOVE -0.5169 0.6500
120480131 MOVE -0.5156 0.6500
120480131 DOWN -0.5156 0.6500
120480363 DOWN 0.4344 0.5594
120480403 MOVE 0.4375 0.5562
120480404 DOWN 0.4375 0.5562
120480679 DOWN 0.4875 -0.4437
120480709 DOWN 0.4875 -0.4437
120481005 DOWN -0.4187 -0.2750
120481040 MOVE -0.4062 -0.2625
120481046 DOWN -0.4062 -0.2625
120481278 DOWN -0.4219 0.6500
120481307 MOVE -0.4139 0.6500
120481324 MOVE -0.3833 0.6403
120481328 DOWN -0.3833 0.6403
120481471 DOWN 0.4875 0.6313
120481507 MOVE 0.4903 0.6225
120481523 MOVE 0.4952 0.5897
120481524 DOWN 0.4952 0.5897
120481701 DOWN 0.4625 -0.3125
120481731 MOVE 0.4375 -0.3094
120481732 DOWN 0.4375 -0.3094
120481897 DOWN -0.3719 -0.2469
120481924 MOVE -0.3719 -0.2189
120481927 DOWN -0.3719 -0.2189
120482357 SYNCTIME f75
